,Q,W
2017/04/25 16:00,5,73.4
2017/04/25 17:00,5,74.5428571429
2017/04/25 18:00,5,76.92
2017/04/25 19:00,5,79.3333333333
2017/04/25 20:00,5,79.6666666667
2017/04/25 21:00,5,78.6666666667
2017/04/25 22:00,5,77.5
2017/04/25 23:00,6,77
2017/04/26 00:00,6,78
2017/04/26 01:00,6,76.625
2017/04/26 02:00,7,73.1428571429
2017/04/26 03:00,7,72.3333333333
2017/04/26 04:00,8,75.5714285714
2017/04/26 05:00,8,81
2017/04/26 06:00,8,77
2017/04/26 07:00,8,76.3333333333
2017/04/26 08:00,9,75
2017/04/26 09:00,8,79
2017/04/26 10:00,8,80.6470588235
2017/04/26 11:00,8,81.5483870968
2017/04/26 12:00,8,82.25
2017/04/26 13:00,7,83
2017/04/26 14:00,7,84
2017/04/26 15:00,7,84
2017/04/26 16:00,7,82.3333333333
2017/04/26 17:00,7,81.5714285714
2017/04/26 18:00,7,80.3333333333
2017/04/26 19:00,7,79.5555555556
2017/04/26 20:00,7,78.7619047619
2017/04/26 21:00,8,78.0588235294
2017/04/26 22:00,8,78.3529411765
2017/04/26 23:00,8,78.6470588235
2017/04/27 00:00,9,78.9411764706
2017/04/27 01:00,9,81
2017/04/27 02:00,10,81
2017/04/27 03:00,11,82
2017/04/27 04:00,11,82.4642857143
2017/04/27 05:00,11,81.1764705882
2017/04/27 06:00,11,79.88
2017/04/27 07:00,11,79.08
2017/04/27 08:00,10,78
2017/04/27 09:00,10,78
2017/04/27 10:00,10,77.88
2017/04/27 11:00,10,77.08
2017/04/27 12:00,10,76.380952381
2017/04/27 13:00,9,75.5555555556
2017/04/27 14:00,9,75
2017/04/27 15:00,9,75
2017/04/27 16:00,9,75
2017/04/27 17:00,9,74.8888888889
2017/04/27 18:00,9,73
2017/04/27 19:00,10,73
2017/04/27 20:00,10,74
2017/04/27 21:00,10,73.4166666667
2017/04/27 22:00,10,73
2017/04/27 23:00,10,73
2017/04/28 00:00,10,73
2017/04/28 01:00,10,72.8285714286
2017/04/28 02:00,10,72.5428571429
2017/04/28 03:00,9,72.2571428571
2017/04/28 04:00,9,72
2017/04/28 05:00,9,72
2017/04/28 06:00,9,72
2017/04/28 07:00,9,72
2017/04/28 08:00,9,72
2017/04/28 09:00,8,72
2017/04/28 10:00,8,72
2017/04/28 11:00,8,72
2017/04/28 12:00,7,71.9591836735
2017/04/28 13:00,7,71.5510204082
2017/04/28 14:00,7,71.1428571429
2017/04/28 15:00,7,70.625
2017/04/28 16:00,7,70.4166666667
2017/04/28 17:00,7,71
2017/04/28 18:00,7,70
2017/04/28 19:00,7,69.76
2017/04/28 20:00,7,69.36
2017/04/28 21:00,7,69.0740740741
2017/04/28 22:00,7,69.8148148148
2017/04/28 23:00,6,70
2017/04/29 00:00,6,70
2017/04/29 01:00,6,70
2017/04/29 02:00,6,70
2017/04/29 03:00,6,69.2727272727
2017/04/29 04:00,6,69.2
2017/04/29 05:00,6,68.1481481481
2017/04/29 06:00,6,69.6296296296
2017/04/29 07:00,6,69.5945945946
2017/04/29 08:00,6,69.0540540541
2017/04/29 09:00,6,69
2017/04/29 10:00,6,68.96875
2017/04/29 11:00,6,68.34375
2017/04/29 12:00,6,69
2017/04/29 13:00,6,69
2017/04/29 14:00,6,69
2017/04/29 15:00,6,68.8518518519
2017/04/29 16:00,6,68.1111111111
2017/04/29 17:00,6,69
2017/04/29 18:00,6,67.6875
2017/04/29 19:00,6,67.8181818182
2017/04/29 20:00,6,67.4666666667
2017/04/29 21:00,6,66
2017/04/29 22:00,6,66.0256410256
2017/04/29 23:00,6,66.2820512821
2017/04/30 00:00,6,66.5384615385
2017/04/30 01:00,6,66.7948717949
2017/04/30 02:00,6,67.1379310345
2017/04/30 03:00,6,67.8275862069
2017/04/30 04:00,6,68
2017/04/30 05:00,5,68
2017/04/30 06:00,5,67.875
2017/04/30 07:00,5,67.3529411765
2017/04/30 08:00,5,68
2017/04/30 09:00,5,67
2017/04/30 10:00,5,67.1475409836
2017/04/30 11:00,5,67.4754098361
2017/04/30 12:00,5,67.8032786885
2017/04/30 13:00,5,68.0625
2017/04/30 14:00,5,69.3125
2017/04/30 15:00,5,70
2017/04/30 16:00,5,70.3529411765
2017/04/30 17:00,5,73
2017/04/30 18:00,5,73
2017/04/30 19:00,5,73
2017/04/30 20:00,5,73
2017/04/30 21:00,5,73
2017/04/30 22:00,5,72.875
2017/04/30 23:00,5,72.25
2017/05/01 00:00,5,71
2017/05/01 01:00,5,71
2017/05/01 02:00,5,70.40625
2017/05/01 03:00,5,70.3888888889
2017/05/01 04:00,5,70.5714285714
2017/05/01 05:00,5,70
2017/05/01 06:00,5,69.9
2017/05/01 07:00,5,70
2017/05/01 08:00,5,70
2017/05/01 09:00,6,70
2017/05/01 10:00,6,70
2017/05/01 11:00,6,69.7058823529
2017/05/01 12:00,7,69.3137254902
2017/05/01 13:00,7,69
2017/05/01 14:00,7,69
2017/05/01 15:00,7,69
2017/05/01 16:00,7,69
2017/05/01 17:00,7,68.125
2017/05/01 18:00,7,69
2017/05/01 19:00,6,69
2017/05/01 20:00,6,69
2017/05/01 21:00,6,68.36
